date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:41	33060/33060	---M--	404	error ('Not%20Found')	application/octet-stream	etag:%22021860f54fbe80b11eea2f61c4784ee9%22	https://www.ravendao.net/robots.txt		(from )
20:51:42	507730/507730	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2004:51:43%20GMT	https://www.ravendao.net/	C:/Users/mkhal/OneDrive/Desktop/LARP/ravendao/www.ravendao.net/index.html	(from )
20:51:43	94415/94415	---M-Z	200	added ('OK')	text/css	etag:%2280764b77639d9bcfd2ffcdf61126dfd8%22	https://cdn.prod.website-files.com/65fa91c32ad38172e40465d1/css/ravenio.webflow.4bd889e3b.min.css	C:/Users/mkhal/OneDrive/Desktop/LARP/ravendao/cdn.prod.website-files.com/65fa91c32ad38172e40465d1/css/ravenio.webflow.4bd889e3b.min.css	(from https://www.ravendao.net/)
20:51:43	1859/1859	---M--	200	added ('OK')	image/png	etag:%2229bbcf1da918f192fc06e3dadeb92c8f%22	https://cdn.prod.website-files.com/65fa91c32ad38172e40465d1/6658424d358020319df84cde_raven-favicon.png	C:/Users/mkhal/OneDrive/Desktop/LARP/ravendao/cdn.prod.website-files.com/65fa91c32ad38172e40465d1/6658424d358020319df84cde_raven-favicon.png	(from https://www.ravendao.net/)
20:51:43	44861/44861	---M--	200	added ('OK')	image/png	etag:%2275599584a8eb161522dbdf46fde64611%22	https://cdn.prod.website-files.com/65fa91c32ad38172e40465d1/66584250aa918a6a5a7f31c4_raven-webclip.png	C:/Users/mkhal/OneDrive/Desktop/LARP/ravendao/cdn.prod.website-files.com/65fa91c32ad38172e40465d1/66584250aa918a6a5a7f31c4_raven-webclip.png	(from https://www.ravendao.net/)
20:51:44	33060/33060	---M--	404	error ('Not%20Found')	application/octet-stream	etag:%22021860f54fbe80b11eea2f61c4784ee9%22	https://www.ravendao.net/%22https://cdn.prod.website-files.com/65fa91c32ad38172e40465d1%2F6669c4b9fb66238ee8ab62d3_Latest%20(1)-poster-00001.jpg%22	C:/Users/mkhal/OneDrive/Desktop/LARP/ravendao/www.ravendao.net/_https_/cdn.prod.website-files.com/65fa91c32ad38172e40465d1/6669c4b9fb66238ee8ab62d3_Latest%20(1)-poster-00001.jpg_	(from https://www.ravendao.net/)
20:51:44	15598/15598	---M--	200	added ('OK')	image/webp	etag:%22666b174207482911d99952d6ade36443%22	https://cdn.prod.website-files.com/65fa91c32ad38172e40465d1/660bd54e256032354626d870_Raven-home-1.webp	C:/Users/mkhal/OneDrive/Desktop/LARP/ravendao/cdn.prod.website-files.com/65fa91c32ad38172e40465d1/660bd54e256032354626d870_Raven-home-1.webp	(from https://www.ravendao.net/)
20:51:44	6002/6002	---M--	200	added ('OK')	image/webp	etag:%2240545339e266f05b1ab2a5dcd997e260%22	https://cdn.prod.website-files.com/65fa91c32ad38172e40465d1/662f5526e6fb78fc17575e18_Raven%20-%20Meme.webp	C:/Users/mkhal/OneDrive/Desktop/LARP/ravendao/cdn.prod.website-files.com/65fa91c32ad38172e40465d1/662f5526e6fb78fc17575e18_Raven%20-%20Meme.webp	(from https://www.ravendao.net/)
20:51:44	426924/426924	---M--	200	added ('OK')	image/webp	etag:%2211b0ec2c749f225d219125056fb44eb0%22	https://cdn.prod.website-files.com/65fa91c32ad38172e40465d1/663a188f08617fbd2e1cbe5e_raven-footer-bg.webp	C:/Users/mkhal/OneDrive/Desktop/LARP/ravendao/cdn.prod.website-files.com/65fa91c32ad38172e40465d1/663a188f08617fbd2e1cbe5e_raven-footer-bg.webp	(from https://www.ravendao.net/)
20:51:45	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=65fa91c32ad38172e40465d1	C:/Users/mkhal/OneDrive/Desktop/LARP/ravendao/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8e76a.js	(from https://www.ravendao.net/)
